City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
138,Minab,IR,71.6,['few clouds'],27.15,57.08,فروشگاه موبایل ترکمانی
139,Faya,SA,60.8,['scattered clouds'],18.39,42.45,مقبرة ال مجمل
142,Ancud,CL,60.8,['overcast clouds'],-41.87,-73.82,HOTEL ANCUD DON LUCAS
143,Lagoa,PT,60.75,['overcast clouds'],39.05,-27.98,Casa Das Faias
144,Imbituva,BR,65.25,['clear sky'],-25.23,-50.6,Hotel Estrela
147,Bambous Virieux,MU,73.0,['few clouds'],-20.34,57.76,Casa Tia Villa
153,Chilca,PE,77.0,['broken clouds'],-12.52,-76.74,El Descanso Del Rey - Hotel Campestre
155,Kruisfontein,ZA,58.59,['clear sky'],-34.0,24.73,Oyster Bay House Rental
156,Rio Grande,BR,71.6,['few clouds'],-32.03,-52.1,Swan Express Rio Grande
158,Cockburn Town,TC,77.0,['broken clouds'],21.46,-71.14,Osprey Beach Hotel
160,Ribeira Grande,PT,56.97,['broken clouds'],38.52,-28.7,Quinta da Meia Eira
162,Yarada,IN,77.0,['mist'],17.65,83.27,"D-26/2, Dolphin Hill,"
163,Palghar,IN,77.0,['haze'],19.68,72.75,"Samarth Krupa Farm, Palghar"
164,Ahipara,NZ,66.87,['overcast clouds'],-35.17,173.17,Ahipara Holiday Park
165,Rudbar,AF,69.93,['clear sky'],30.15,62.6,
166,Broome,US,64.0,['broken clouds'],42.25,-75.83,Chenango Valley State Park
169,Marzuq,YE,65.43,['clear sky'],14.4,46.47,
173,Buraydah,SA,60.8,['clear sky'],26.33,43.98,Mövenpick Hotel Qassim
174,Dongzhen,CN,71.01,['overcast clouds'],22.38,110.94,茂名中汇时尚酒店
179,Mao,ES,55.4,['broken clouds'],39.89,4.27,ARTIEM Capri
180,Flinders,AU,73.0,['overcast clouds'],-34.58,150.86,Shellharbour Resort & Conference Centre
182,Bethel,US,73.0,['clear sky'],41.37,-73.41,Courtyard by Marriott Danbury
183,Ierapetra,GR,57.99,['scattered clouds'],35.01,25.74,® Cretan Villa Hotel & Apartments in Ierapetra Crete - Book Direct & Save
186,Arcata,US,60.01,['clear sky'],40.87,-124.08,"Hampton Inn & Suites Arcata, CA"
190,Aguimes,ES,63.0,['broken clouds'],27.91,-15.45,Hotel Villa de Aguimes
193,Amapa,BR,71.91,['overcast clouds'],1.0,-52.0,
194,Seddon,AU,63.0,['broken clouds'],-37.81,144.89,AKOM Docklands
197,Big Bend,SZ,75.2,['few clouds'],-26.82,31.93,The Lebombo Villa B+B
199,Dehloran,IR,65.43,['overcast clouds'],32.69,47.27,مسافرخانه قدس(عبدالله خداکرمی)
204,Esteli,NI,73.4,['scattered clouds'],13.09,-86.35,Friends & Family
205,Bafq,IR,60.21,['few clouds'],31.61,55.41,Alamdar Hotel
208,Mar Del Plata,AR,64.4,['scattered clouds'],-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
209,Puerto Del Rosario,ES,64.4,['scattered clouds'],28.5,-13.86,Hotel JM Puerto del Rosario
211,Ratnagiri,IN,63.09,['few clouds'],16.98,73.3,Hotel Landmark
212,Oneonta,US,61.0,['overcast clouds'],42.45,-75.06,Hampton Inn Oneonta
217,Praya,CV,71.6,['few clouds'],14.92,-23.51,LT Aparthotel
218,Santa Lucia,ES,63.0,['broken clouds'],27.91,-15.54,Hotel Viverde Las Tirajanas
219,Sao Filipe,CV,68.49,['clear sky'],14.9,-24.5,Tortuga B&B
221,Rehoboth,,70.29,['broken clouds'],-23.32,17.08,Noble Luminous Accommodation
223,Los Llanos De Aridane,ES,62.6,['broken clouds'],28.66,-17.92,Valle Aridane
233,Lompoc,US,60.01,['overcast clouds'],34.64,-120.46,Holiday Inn Express Lompoc
234,Mecca,SA,65.43,['clear sky'],21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
239,Victor Harbor,AU,64.0,['scattered clouds'],-35.57,138.62,Apollon Motor Inn
243,Coihaique,CL,60.8,['broken clouds'],-45.58,-72.07,Diego De Almagro Coyhaique
246,Hualmay,PE,71.73,['overcast clouds'],-11.1,-77.61,Hotel Restaurant Turístico Casablanca
250,Vila Do Maio,CV,71.6,['few clouds'],15.13,-23.22,Residence 'I Delfini'
253,Moroto,UG,72.45,['scattered clouds'],2.53,34.67,"Kara-Tunga, Karamoja Safari Camp"
254,Codrington,AU,57.15,['overcast clouds'],-38.27,141.97,Codrington Gardens Bed And Breakfast
256,Medina,SA,71.6,['clear sky'],24.47,39.61,Elaf Taiba Hotel فندق إيلاف طيبة
258,Ishigaki,JP,73.4,['broken clouds'],24.34,124.16,Hotel Peace Land Ishigakijima
262,Upata,VE,76.95,['broken clouds'],8.01,-62.4,Posada Villa Nela
264,Niquero,CU,73.17,['clear sky'],20.04,-77.58,
271,Lingao,CN,73.71,['overcast clouds'],19.91,109.69,Lingao Ditai Inn
272,Saint-Pierre,RE,71.6,['scattered clouds'],-21.34,55.48,Lindsey Hôtel
273,Pacific Grove,US,63.0,['clear sky'],36.62,-121.92,Lovers Point Inn
280,Mossendjo,CG,68.67,['overcast clouds'],-2.95,12.73,HOTEL D'ASSISE
281,Batticaloa,LK,69.57,['overcast clouds'],7.71,81.69,Grand Star Guest House
286,Dwarka,IN,75.15,['clear sky'],22.24,68.97,Hotel Narayan Avezika Comfort
292,Cabo San Lucas,MX,77.0,['scattered clouds'],22.89,-109.91,Hotel Tesoro Los Cabos
299,Huarmey,PE,73.17,['overcast clouds'],-10.07,-78.15,Hotel Miramar
301,Coffs Harbour,AU,77.0,['clear sky'],-30.3,153.13,Aquajet Motel
307,Nueve De Julio,AR,73.99,['clear sky'],-35.44,-60.88,Grand Hotel Libertad - Restaurante Duomo
309,Letlhakane,BW,71.19,['scattered clouds'],-21.42,25.58,Motswedi Hotel P770 3 Star
312,Walvis Bay,,59.0,['clear sky'],-22.96,14.51,Oyster Box Guesthouse
316,Ucluelet,CA,63.0,['few clouds'],48.93,-125.55,Black Rock Oceanfront Resort
317,Corrales,US,59.0,['shower rain'],35.24,-106.61,Hilton Garden Inn Albuquerque North/Rio Rancho
321,Kaabong,UG,69.21,['scattered clouds'],3.48,34.15,Rock Motel Ltd
324,Naduvattam,IN,63.63,['overcast clouds'],11.48,76.57,"United-21 Paradise, Ooty"
327,Kathu,TH,75.2,['few clouds'],7.92,98.33,Novotel Phuket Resort
329,Kaeo,NZ,70.0,['overcast clouds'],-35.1,173.78,Bushido Lodge
331,Nouadhibou,MR,66.2,['scattered clouds'],20.93,-17.03,El Medina
332,Sucua,EC,75.2,['broken clouds'],-2.47,-78.17,Hotel Barza
333,Emerald,AU,77.0,['clear sky'],-23.53,148.17,The Irish Village
334,Taltal,CL,59.13,['clear sky'],-25.4,-70.48,Residencial Karime
335,Victoria,HK,73.0,['scattered clouds'],22.29,114.16,Mini Hotel Central
336,Djambala,CG,67.23,['overcast clouds'],-2.54,14.75,Auberge Chez Les Emmanuelles
342,Dalbandin,PK,67.95,['clear sky'],28.89,64.41,Gidaan Guest House
343,Pisco,PE,73.99,['scattered clouds'],-13.7,-76.22,Hostal San Isidro Oficial
