City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
79,Olbia,IT,2020-03-20 23:10:50,40.92,9.49,47.25,95,0,4.41,['clear sky'],0.0,0.0
80,Hamilton,US,2020-03-20 23:08:25,39.18,-84.53,52.0,71,90,21.92,['overcast clouds'],0.0,0.0
81,Eagle,US,2020-03-20 23:10:50,43.7,-116.35,64.4,41,1,5.82,['clear sky'],0.0,0.0
82,Cidreira,BR,2020-03-20 23:06:23,-30.18,-50.21,73.17,76,3,10.85,['light rain'],0.38,0.0
83,Mayo,US,2020-03-20 23:10:20,38.89,-76.51,81.0,44,1,9.17,['clear sky'],0.0,0.0
84,Kodinsk,RU,2020-03-20 23:10:51,58.69,99.18,26.01,97,100,5.61,['light snow'],0.0,0.38
85,Hilo,US,2020-03-20 23:09:12,19.73,-155.09,78.8,69,90,13.87,['overcast clouds'],0.0,0.0
86,Komsomolskiy,UZ,2020-03-20 23:10:51,40.43,71.72,59.0,47,100,4.7,['overcast clouds'],0.0,0.0
87,San Juan,AR,2020-03-20 23:10:51,-31.54,-68.54,81.45,30,0,18.32,['clear sky'],0.0,0.0
88,Port Elizabeth,ZA,2020-03-20 23:10:51,-33.92,25.57,64.4,77,60,6.93,['broken clouds'],0.0,0.0
89,Auki,SB,2020-03-20 23:10:51,-8.77,160.7,83.61,73,38,2.57,['light rain'],0.44,0.0
90,Libreville,GA,2020-03-20 23:08:32,0.39,9.45,77.0,88,20,4.7,['few clouds'],0.0,0.0
91,Arraial Do Cabo,BR,2020-03-20 23:10:52,-22.97,-42.03,80.01,82,73,9.08,['light rain'],2.06,0.0
92,Ponta Do Sol,PT,2020-03-20 23:10:52,32.67,-17.1,59.0,58,40,11.41,['scattered clouds'],0.0,0.0
93,Voh,NC,2020-03-20 23:10:52,-20.97,164.7,79.11,72,25,11.43,['scattered clouds'],0.0,0.0
94,Teguldet,RU,2020-03-20 23:10:52,57.31,88.17,28.71,94,100,14.14,['light snow'],0.0,0.69
95,Hasaki,JP,2020-03-20 23:10:52,35.73,140.83,48.2,57,40,1.12,['scattered clouds'],0.0,0.0
96,Pinotepa Nacional,MX,2020-03-20 23:10:52,16.32,-98.02,85.23,39,0,7.78,['clear sky'],0.0,0.0
97,Dagana,MR,2020-03-20 23:10:53,16.52,-15.51,84.2,26,0,2.24,['clear sky'],0.0,0.0
98,Bengkulu,ID,2020-03-20 23:10:53,-3.8,102.27,74.61,86,100,2.13,['overcast clouds'],0.0,0.0
99,Tuktoyaktuk,CA,2020-03-20 23:10:53,69.45,-133.04,28.4,100,90,9.17,['light snow'],0.0,0.0
100,Hofn,IS,2020-03-20 23:10:53,64.25,-15.21,44.55,73,100,36.48,['light rain'],0.25,0.0
101,Nouakchott,MR,2020-03-20 23:10:53,18.09,-15.98,71.6,64,0,11.41,['clear sky'],0.0,0.0
102,Waitara,NZ,2020-03-20 23:10:53,-38.92,174.25,64.99,65,100,3.0,['overcast clouds'],0.0,0.0
103,Poso,ID,2020-03-20 23:09:49,-1.4,120.75,71.55,84,96,1.14,['light rain'],0.25,0.0
104,Alto Lucero,MX,2020-03-20 23:10:54,19.62,-96.72,79.11,75,0,4.94,['clear sky'],0.0,0.0
105,Saldanha,ZA,2020-03-20 23:10:54,-33.01,17.94,62.6,82,0,3.36,['clear sky'],0.0,0.0
106,Iralaya,HN,2020-03-20 23:10:54,15.0,-83.23,80.19,77,5,15.3,['light rain'],2.0,0.0
107,Lorengau,PG,2020-03-20 23:10:54,-2.02,147.27,83.97,67,100,3.29,['overcast clouds'],0.0,0.0
108,Acapulco,MX,2020-03-20 23:07:00,16.86,-99.89,86.0,70,40,6.93,['scattered clouds'],0.0,0.0
109,Kismayo,SO,2020-03-20 23:10:54,-0.36,42.55,82.35,77,28,14.36,['scattered clouds'],0.0,0.0
110,Hobyo,SO,2020-03-20 23:10:54,5.35,48.53,81.27,80,24,7.61,['few clouds'],0.0,0.0
111,Three Hills,CA,2020-03-20 23:10:02,51.7,-113.27,26.01,62,5,4.7,['clear sky'],0.0,0.0
112,Kodiak,US,2020-03-20 23:10:55,57.79,-152.41,39.2,64,1,8.05,['clear sky'],0.0,0.0
113,Dingle,PH,2020-03-20 23:10:55,11.0,122.67,79.11,77,81,10.13,['broken clouds'],0.0,0.0
114,New Norfolk,AU,2020-03-20 23:10:55,-42.78,147.06,55.99,82,75,9.17,['shower rain'],0.0,0.0
115,Wadi Maliz,TN,2020-03-20 23:10:55,36.47,8.55,59.0,67,86,9.17,['overcast clouds'],0.0,0.0
116,Hermanus,ZA,2020-03-20 23:10:56,-34.42,19.23,59.0,94,0,1.01,['clear sky'],0.0,0.0
117,Nishihara,JP,2020-03-20 23:10:56,26.18,127.76,66.2,77,47,3.36,['scattered clouds'],0.0,0.0
118,Iqaluit,CA,2020-03-20 23:10:56,63.75,-68.51,1.4,77,90,5.44,['light snow'],0.0,0.0
119,Sobolevo,RU,2020-03-20 23:10:56,54.43,31.9,33.03,87,16,4.85,['few clouds'],0.0,0.0
120,Dong Hoi,VN,2020-03-20 23:10:56,17.48,106.6,73.53,91,100,0.54,['overcast clouds'],0.0,0.0
121,Chifeng,CN,2020-03-20 23:10:56,42.27,118.96,34.65,66,97,6.67,['light snow'],0.0,0.56
122,Changji,CN,2020-03-20 23:10:56,44.02,87.32,41.0,80,100,4.47,['overcast clouds'],0.0,0.0
123,Comodoro Rivadavia,AR,2020-03-20 23:10:57,-45.87,-67.5,77.0,36,81,16.11,['broken clouds'],0.0,0.0
124,East London,ZA,2020-03-20 23:07:17,-33.02,27.91,71.91,67,64,13.89,['broken clouds'],0.0,0.0
125,Riohacha,CO,2020-03-20 23:10:57,11.54,-72.91,82.4,74,20,17.22,['few clouds'],0.0,0.0
126,Tsuruoka,JP,2020-03-20 23:10:57,38.72,139.82,50.0,66,40,2.24,['scattered clouds'],0.0,0.0
127,Nusaybin,TR,2020-03-20 23:10:57,37.08,41.22,42.93,78,89,7.29,['overcast clouds'],0.0,0.0
128,Arlit,NE,2020-03-20 23:10:57,18.74,7.39,82.35,12,27,12.33,['scattered clouds'],0.0,0.0
129,Gouyave,GD,2020-03-20 23:10:57,12.16,-61.73,80.6,69,20,6.93,['few clouds'],0.0,0.0
130,Alyangula,AU,2020-03-20 23:10:57,-13.85,136.42,75.2,100,54,3.36,['broken clouds'],0.0,0.0
131,Hobart,AU,2020-03-20 23:06:19,-42.88,147.33,55.99,82,75,9.17,['shower rain'],0.0,0.0
132,Ambovombe,MG,2020-03-20 23:10:58,-25.17,46.08,67.95,89,49,3.89,['scattered clouds'],0.0,0.0
133,Tasiilaq,GL,2020-03-20 23:10:58,65.61,-37.64,24.8,79,100,17.22,['light snow'],0.0,0.19
134,Sungairaya,ID,2020-03-20 23:10:58,0.7,108.9,74.07,94,100,2.35,['overcast clouds'],0.0,0.0
135,Albany,US,2020-03-20 23:09:00,42.6,-73.97,66.99,59,75,11.41,['broken clouds'],0.0,0.0
136,Kokomo,US,2020-03-20 23:10:41,40.49,-86.13,42.01,86,90,14.99,['mist'],0.0,0.0
137,Bosaso,SO,2020-03-20 23:10:58,11.28,49.18,81.99,77,0,17.94,['clear sky'],0.0,0.0
138,Minab,IR,2020-03-20 23:10:58,27.15,57.08,71.6,83,20,2.24,['few clouds'],0.0,0.0
139,Faya,SA,2020-03-20 23:10:59,18.39,42.45,60.8,93,40,5.82,['scattered clouds'],0.0,0.0
140,Fecamp,FR,2020-03-20 23:10:59,49.76,0.37,44.01,87,90,14.99,['overcast clouds'],0.0,0.0
141,Nikolskoye,RU,2020-03-20 23:10:59,59.7,30.79,28.99,58,75,6.71,['broken clouds'],0.0,0.0
142,Ancud,CL,2020-03-20 23:10:59,-41.87,-73.82,60.8,82,90,3.36,['overcast clouds'],0.0,0.0
143,Lagoa,PT,2020-03-20 23:10:59,39.05,-27.98,60.75,77,94,19.37,['overcast clouds'],0.0,0.0
144,Imbituva,BR,2020-03-20 23:10:59,-25.23,-50.6,65.25,84,3,2.57,['clear sky'],0.0,0.0
145,Vanimo,PG,2020-03-20 23:10:59,-2.67,141.3,82.53,73,100,6.67,['moderate rain'],5.5,0.0
146,Saint-Francois,FR,2020-03-20 23:11:00,46.42,3.91,52.0,75,24,3.47,['few clouds'],0.0,0.0
147,Bambous Virieux,MU,2020-03-20 23:11:00,-20.34,57.76,73.0,88,20,3.36,['few clouds'],0.0,0.0
148,Fort Morgan,US,2020-03-20 23:11:00,40.25,-103.8,28.4,68,90,10.29,['overcast clouds'],0.0,0.0
149,Bikin,RU,2020-03-20 23:11:00,46.82,134.26,29.61,78,86,1.86,['overcast clouds'],0.0,0.0
150,Kahului,US,2020-03-20 23:11:00,20.89,-156.47,84.2,54,20,4.7,['few clouds'],0.0,0.0
151,Bara,NG,2020-03-20 23:11:00,10.37,10.73,80.19,13,98,5.73,['overcast clouds'],0.0,0.0
152,Mikhaylovka,RU,2020-03-20 23:11:00,50.06,43.24,35.73,80,0,8.61,['clear sky'],0.0,0.0
153,Chilca,PE,2020-03-20 23:11:00,-12.52,-76.74,77.0,73,75,9.17,['broken clouds'],0.0,0.0
154,Avarua,CK,2020-03-20 23:11:01,-21.21,-159.78,80.6,78,100,6.93,['moderate rain'],6.56,0.0
155,Kruisfontein,ZA,2020-03-20 23:11:01,-34.0,24.73,58.59,90,7,3.29,['clear sky'],0.0,0.0
156,Rio Grande,BR,2020-03-20 23:09:31,-32.03,-52.1,71.6,78,20,4.7,['few clouds'],0.0,0.0
157,Bilibino,RU,2020-03-20 23:11:01,68.05,166.44,-11.61,76,2,1.32,['clear sky'],0.0,0.0
158,Cockburn Town,TC,2020-03-20 23:11:01,21.46,-71.14,77.0,69,75,14.99,['broken clouds'],0.0,0.0
159,Tamandare,BR,2020-03-20 23:11:01,-8.76,-35.1,82.71,74,99,17.05,['overcast clouds'],0.0,0.0
160,Ribeira Grande,PT,2020-03-20 23:11:01,38.52,-28.7,56.97,81,80,11.68,['broken clouds'],0.0,0.0
161,Cayenne,GF,2020-03-20 23:11:01,4.93,-52.33,78.8,83,40,6.93,['scattered clouds'],0.0,0.0
162,Yarada,IN,2020-03-20 23:11:02,17.65,83.27,77.0,73,40,2.24,['mist'],0.0,0.0
163,Palghar,IN,2020-03-20 23:11:02,19.68,72.75,77.0,78,0,3.36,['haze'],0.0,0.0
164,Ahipara,NZ,2020-03-20 23:11:02,-35.17,173.17,66.87,69,100,6.31,['overcast clouds'],0.0,0.0
165,Rudbar,AF,2020-03-20 23:11:02,30.15,62.6,69.93,32,7,5.28,['clear sky'],0.0,0.0
166,Broome,US,2020-03-20 23:11:02,42.25,-75.83,64.0,62,75,17.22,['broken clouds'],0.0,0.0
167,Hithadhoo,MV,2020-03-20 23:11:02,-0.6,73.08,83.97,66,100,2.89,['overcast clouds'],0.0,0.0
168,Aklavik,CA,2020-03-20 23:11:02,68.22,-135.01,37.4,59,75,11.41,['broken clouds'],0.0,0.0
169,Marzuq,YE,2020-03-20 23:11:03,14.4,46.47,65.43,68,6,3.04,['clear sky'],0.0,0.0
170,Muroto,JP,2020-03-20 23:11:03,33.28,134.15,44.6,70,0,11.41,['clear sky'],0.0,0.0
171,Shingu,JP,2020-03-20 23:11:03,33.73,135.98,48.2,66,0,4.7,['clear sky'],0.0,0.0
172,Vila Franca Do Campo,PT,2020-03-20 23:11:03,37.72,-25.43,53.6,71,75,4.7,['broken clouds'],0.0,0.0
173,Buraydah,SA,2020-03-20 23:11:03,26.33,43.98,60.8,38,3,4.7,['clear sky'],0.0,0.0
174,Dongzhen,CN,2020-03-20 23:11:03,22.38,110.94,71.01,91,100,3.09,['overcast clouds'],0.0,0.0
175,Havre-Saint-Pierre,CA,2020-03-20 23:11:04,50.23,-63.6,32.0,99,90,8.05,['mist'],0.0,0.0
176,Ilulissat,GL,2020-03-20 23:11:04,69.22,-51.1,9.63,97,100,3.4,['light snow'],0.0,0.5
177,Abay,KZ,2020-03-20 23:11:04,49.63,72.85,30.2,68,22,15.66,['few clouds'],0.0,0.0
178,Husavik,IS,2020-03-20 23:11:04,66.04,-17.34,41.0,65,75,57.49,['broken clouds'],0.0,0.0
179,Mao,ES,2020-03-20 23:11:04,39.89,4.27,55.4,87,77,11.41,['broken clouds'],0.0,0.0
180,Flinders,AU,2020-03-20 23:11:04,-34.58,150.86,73.0,88,90,8.05,['overcast clouds'],0.0,0.0
181,Baruun-Urt,MN,2020-03-20 23:11:04,46.68,113.28,21.69,56,94,3.04,['overcast clouds'],0.0,0.0
182,Bethel,US,2020-03-20 23:11:04,41.37,-73.41,73.0,82,1,8.05,['clear sky'],0.0,0.0
183,Ierapetra,GR,2020-03-20 23:11:05,35.01,25.74,57.99,58,40,16.11,['scattered clouds'],0.0,0.0
184,Qaqortoq,GL,2020-03-20 23:11:05,60.72,-46.03,15.8,47,20,5.82,['few clouds'],0.0,0.0
185,Chokurdakh,RU,2020-03-20 23:11:05,70.63,147.92,-4.59,94,98,6.35,['overcast clouds'],0.0,0.0
186,Arcata,US,2020-03-20 23:11:05,40.87,-124.08,60.01,67,1,8.05,['clear sky'],0.0,0.0
187,Januaria,BR,2020-03-20 23:11:05,-15.48,-44.37,71.91,95,98,4.47,['light rain'],2.75,0.0
188,Quepos,CR,2020-03-20 23:11:05,9.42,-84.17,82.4,50,20,17.22,['few clouds'],0.0,0.0
189,Touros,BR,2020-03-20 23:11:06,-5.2,-35.46,82.4,74,20,8.05,['few clouds'],0.0,0.0
190,Aguimes,ES,2020-03-20 23:11:06,27.91,-15.45,63.0,82,75,20.8,['broken clouds'],0.0,0.0
191,Dryden,CA,2020-03-20 23:11:06,49.78,-92.75,23.0,19,1,5.82,['clear sky'],0.0,0.0
192,Mashivka,UA,2020-03-20 23:11:06,49.44,34.87,40.59,60,63,1.23,['broken clouds'],0.0,0.0
193,Amapa,BR,2020-03-20 23:11:06,1.0,-52.0,71.91,87,100,1.19,['overcast clouds'],0.0,0.0
194,Seddon,AU,2020-03-20 23:11:06,-37.81,144.89,63.0,71,75,9.17,['broken clouds'],0.0,0.0
195,The Valley,AI,2020-03-20 23:08:43,18.22,-63.06,78.8,65,40,12.75,['light intensity shower rain'],0.0,0.0
196,Pau Brasil,BR,2020-03-20 23:11:07,-15.46,-39.65,73.53,99,49,2.04,['light rain'],0.25,0.0
197,Big Bend,SZ,2020-03-20 23:11:07,-26.82,31.93,75.2,78,13,1.12,['few clouds'],0.0,0.0
198,Provideniya,RU,2020-03-20 23:11:07,64.38,-173.3,23.13,91,100,14.16,['light snow'],0.0,0.25
199,Dehloran,IR,2020-03-20 23:11:07,32.69,47.27,65.43,32,100,12.19,['overcast clouds'],0.0,0.0
200,Koltubanovskiy,RU,2020-03-20 23:11:07,52.94,52.03,29.07,95,15,5.5,['few clouds'],0.0,0.0
201,Fairbanks,US,2020-03-20 23:11:07,64.84,-147.72,37.99,64,75,20.8,['broken clouds'],0.0,0.0
202,Kyzyl-Suu,KG,2020-03-20 23:11:08,42.34,78.0,39.15,47,0,3.91,['clear sky'],0.0,0.0
203,Waingapu,ID,2020-03-20 23:11:08,-9.66,120.26,83.97,72,23,2.84,['few clouds'],0.0,0.0
204,Esteli,NI,2020-03-20 23:11:08,13.09,-86.35,73.4,69,40,12.06,['scattered clouds'],0.0,0.0
205,Bafq,IR,2020-03-20 23:11:08,31.61,55.41,60.21,16,24,7.54,['few clouds'],0.0,0.0
206,Yabelo,ET,2020-03-20 23:11:08,4.88,38.08,66.15,83,68,6.11,['light rain'],0.37,0.0
207,Zhigansk,RU,2020-03-20 23:11:08,66.77,123.37,-7.65,94,94,5.88,['overcast clouds'],0.0,0.0
208,Mar Del Plata,AR,2020-03-20 23:11:08,-38.0,-57.56,64.4,72,28,5.82,['scattered clouds'],0.0,0.0
209,Puerto Del Rosario,ES,2020-03-20 23:11:08,28.5,-13.86,64.4,72,40,10.29,['scattered clouds'],0.0,0.0
210,Chengde,CN,2020-03-20 23:10:15,40.97,117.94,38.97,59,82,2.71,['light snow'],0.0,0.44
211,Ratnagiri,IN,2020-03-20 23:11:09,16.98,73.3,63.09,69,20,2.71,['few clouds'],0.0,0.0
212,Oneonta,US,2020-03-20 23:10:10,42.45,-75.06,61.0,64,97,5.01,['overcast clouds'],0.0,0.0
213,Longyearbyen,SJ,2020-03-20 23:11:09,78.22,15.64,10.4,72,75,12.75,['shower rain'],0.0,0.0
214,Hambantota,LK,2020-03-20 23:11:09,6.12,81.12,78.03,79,5,9.86,['clear sky'],0.0,0.0
215,Kristiinankaupunki,FI,2020-03-20 23:11:09,62.27,21.38,29.07,65,32,6.78,['light snow'],0.0,0.38
216,Dikson,RU,2020-03-20 23:11:09,73.51,80.55,-16.47,99,92,15.23,['overcast clouds'],0.0,0.0
217,Praya,CV,2020-03-20 23:08:42,14.92,-23.51,71.6,64,20,13.87,['few clouds'],0.0,0.0
218,Santa Lucia,ES,2020-03-20 23:11:10,27.91,-15.54,63.0,82,75,20.8,['broken clouds'],0.0,0.0
219,Sao Filipe,CV,2020-03-20 23:11:10,14.9,-24.5,68.49,80,3,12.97,['clear sky'],0.0,0.0
220,Sarahan,IN,2020-03-20 23:11:10,31.52,77.8,19.71,55,84,13.18,['broken clouds'],0.0,0.0
221,Rehoboth,NA,2020-03-20 23:11:10,-23.32,17.08,70.29,43,72,11.74,['broken clouds'],0.0,0.0
222,Chake Chake,TZ,2020-03-20 23:11:10,-5.25,39.77,84.69,72,1,8.5,['light rain'],0.25,0.0
223,Los Llanos De Aridane,ES,2020-03-20 23:11:10,28.66,-17.92,62.6,67,75,8.05,['broken clouds'],0.0,0.0
224,Gold Coast,AU,2020-03-20 23:11:10,-28.0,153.43,82.0,65,0,5.82,['clear sky'],0.0,0.0
225,Leningradskiy,RU,2020-03-20 23:11:11,69.38,178.42,-2.07,91,100,7.36,['light snow'],0.0,0.19
