City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Comodoro Rivadavia,AR,2020-03-18 10:48:11,-45.87,-67.5,55.4,71,48,8.05
118,Jequie,BR,2020-03-18 10:48:11,-13.86,-40.08,84.83,57,86,1.21
119,Busselton,AU,2020-03-18 10:48:11,-33.65,115.33,63.0,36,19,12.66
120,Springbok,ZA,2020-03-18 10:48:11,-29.66,17.89,82.4,8,0,5.82
121,Mirpur Sakro,PK,2020-03-18 10:48:11,24.55,67.63,95.0,14,46,17.36
122,Chornukhy,UA,2020-03-18 10:48:11,50.27,32.94,49.55,53,18,8.95
123,Menongue,AO,2020-03-18 10:48:11,-14.66,17.69,73.31,76,100,1.95
124,Beroroha,MG,2020-03-18 10:48:11,-21.67,45.17,90.95,37,25,5.82
125,Hambantota,LK,2020-03-18 10:48:12,6.12,81.12,91.4,59,75,10.29
126,Pisco,PE,2020-03-18 10:48:12,-13.7,-76.22,70.0,83,69,3.36
127,Faanui,PF,2020-03-18 10:48:12,-16.48,-151.75,82.67,72,99,4.74
128,Wencheng,CN,2020-03-18 10:48:12,33.06,113.8,63.23,37,29,9.42
129,Rio Grande,BR,2020-03-18 10:47:59,-32.03,-52.1,71.6,94,90,6.93
130,Kodiak,US,2020-03-18 10:48:12,57.79,-152.41,35.6,64,1,28.86
131,Tasiilaq,GL,2020-03-18 10:48:12,65.61,-37.64,5.0,60,10,3.36
132,Thompson,CA,2020-03-18 10:48:12,55.74,-97.86,-22.0,74,5,2.24
133,Batagay,RU,2020-03-18 10:48:12,67.63,134.63,-18.13,93,24,0.4
134,Georgetown,MY,2020-03-18 10:48:13,5.41,100.34,89.6,66,20,10.29
135,Tuktoyaktuk,CA,2020-03-18 10:48:13,69.45,-133.04,6.53,90,88,15.12
136,Castro,BR,2020-03-18 10:48:13,-24.79,-50.01,69.35,86,64,3.74
137,Avarua,CK,2020-03-18 10:48:13,-21.21,-159.78,80.6,94,100,13.87
138,San Angelo,US,2020-03-18 10:43:39,31.46,-100.44,62.6,93,90,4.07
139,Mnogovershinnyy,RU,2020-03-18 10:48:13,53.94,139.92,15.89,96,91,1.99
140,Evensk,RU,2020-03-18 10:48:13,61.95,159.23,7.97,77,100,10.8
141,Mandera,KE,2020-03-18 10:48:13,3.94,41.87,91.99,14,57,1.99
142,Palmer,US,2020-03-18 10:48:14,42.16,-72.33,35.6,58,1,1.9
143,Provideniya,RU,2020-03-18 10:48:14,64.38,-173.3,23.99,99,100,7.81
144,Tabuk,PH,2020-03-18 10:48:14,17.42,121.44,73.85,75,14,5.23
145,Kaitangata,NZ,2020-03-18 10:48:14,-46.28,169.85,54.0,83,100,3.0
146,Isiro,CD,2020-03-18 10:48:14,2.77,27.62,93.65,30,93,5.55
